ProductKey,ProductCategorie
336,Activiteiten in het preventief justitieel kader
337,Zonder verblijf: jeugdhulp eigen netwerk
338,Generalistische basis-ggz
339,Generalistische basis-ggz
340,Generalistische basis-ggz
341,Generalistische basis-ggz
342,Generalistische basis-ggz
343,Generalistische basis-ggz
344,Specialistische ggz
345,Specialistische ggz
346,Kindergeneeskunde
347,Kindergeneeskunde
348,Kindergeneeskunde
349,Kindergeneeskunde
350,Kindergeneeskunde
351,Kindergeneeskunde
352,Kindergeneeskunde
353,Jeugd-ggz
354,Jeugd-ggz
355,Jeugd-ggz
356,Jeugd-ggz
357,Jeugd-ggz
358,Jeugd-ggz
359,Jeugd-ggz
360,Jeugd-ggz
361,Jeugd-ggz
362,Jeugd-ggz
363,Jeugd-ggz
364,Landelijk ingekochte zorg
365,Landelijk ingekochte zorg
366,Landelijk ingekochte zorg
367,Landelijk ingekochte zorg
368,Landelijk ingekochte zorg
369,Landelijk ingekochte zorg
370,Landelijk ingekochte zorg
371,Landelijk ingekochte zorg
372,Landelijk ingekochte zorg
373,Landelijk ingekochte zorg
374,Landelijk ingekochte zorg
375,Landelijk ingekochte zorg
376,Landelijk ingekochte zorg
377,Landelijk ingekochte zorg
378,Landelijk ingekochte zorg
379,Landelijk ingekochte zorg
380,Landelijk ingekochte zorg
381,Landelijk ingekochte zorg
382,Landelijk ingekochte zorg
383,Landelijk ingekochte zorg
384,Landelijk ingekochte zorg
385,Landelijk ingekochte zorg
386,Landelijk ingekochte zorg
387,Landelijk ingekochte zorg
388,Landelijk ingekochte zorg
389,Landelijk ingekochte zorg
390,Landelijk ingekochte zorg
391,Landelijk ingekochte zorg
392,Landelijk ingekochte zorg
393,Landelijk ingekochte zorg
394,Landelijk ingekochte zorg
395,Landelijk ingekochte zorg
396,Met verblijf: pleegzorg
397,Met verblijf: gezinsgericht
398,Met verblijf: gesloten plaatsing
399,Met verblijf: overig residentieel
400,Specialistische ggz
401,Zonder verblijf: jeugdhulp eigen netwerk
402,Jeugd-ggz
403,Landelijk ingekochte zorg
404,Zonder verblijf: door wijk- of buurtteam
405,Zonder verblijf: door wijk- of buurtteam
406,Zonder verblijf: door wijk- of buurtteam
407,Zonder verblijf: door wijk- of buurtteam
408,Zonder verblijf: ambulant loc. aanbieder
409,Met verblijf: gesloten plaatsing
410,Met verblijf: gesloten plaatsing
411,Met verblijf: gesloten plaatsing
412,Zonder verblijf: ambulant loc. aanbieder
413,Zonder verblijf: ambulant loc. aanbieder
414,Zonder verblijf: ambulant loc. aanbieder
415,Zonder verblijf: ambulant loc. aanbieder
416,Zonder verblijf: ambulant loc. aanbieder
417,Zonder verblijf: ambulant loc. aanbieder
418,Zonder verblijf: ambulant loc. aanbieder
419,Zonder verblijf: ambulant loc. aanbieder
420,Zonder verblijf: ambulant loc. aanbieder
421,Zonder verblijf: ambulant loc. aanbieder
422,Zonder verblijf: ambulant loc. aanbieder
423,Zonder verblijf: ambulant loc. aanbieder
424,Zonder verblijf: ambulant loc. aanbieder
425,Zonder verblijf: ambulant loc. aanbieder
426,Zonder verblijf: ambulant loc. aanbieder
427,Zonder verblijf: ambulant loc. aanbieder
428,Zonder verblijf: ambulant loc. aanbieder
429,Zonder verblijf: ambulant loc. aanbieder
430,Zonder verblijf: ambulant loc. aanbieder
431,Zonder verblijf: ambulant loc. aanbieder
432,Zonder verblijf: ambulant loc. aanbieder
433,Zonder verblijf: ambulant loc. aanbieder
434,Zonder verblijf: ambulant loc. aanbieder
435,Zonder verblijf: ambulant loc. aanbieder
436,Zonder verblijf: ambulant loc. aanbieder
437,Zonder verblijf: ambulant loc. aanbieder
438,Zonder verblijf: ambulant loc. aanbieder
439,Zonder verblijf: ambulant loc. aanbieder
440,Zonder verblijf: ambulant loc. aanbieder
441,Zonder verblijf: ambulant loc. aanbieder
442,Zonder verblijf: ambulant loc. aanbieder
443,Zonder verblijf: ambulant loc. aanbieder
444,Zonder verblijf: ambulant loc. aanbieder
445,Zonder verblijf: ambulant loc. aanbieder
446,Zonder verblijf: ambulant loc. aanbieder
447,Zonder verblijf: ambulant loc. aanbieder
448,Zonder verblijf: ambulant loc. aanbieder
449,Zonder verblijf: ambulant loc. aanbieder
450,Zonder verblijf: ambulant loc. aanbieder
451,Zonder verblijf: ambulant loc. aanbieder
452,Zonder verblijf: ambulant loc. aanbieder
453,Zonder verblijf: ambulant loc. aanbieder
454,Zonder verblijf: ambulant loc. aanbieder
455,Zonder verblijf: ambulant loc. aanbieder
456,Zonder verblijf: ambulant loc. aanbieder
457,Zonder verblijf: ambulant loc. aanbieder
458,Zonder verblijf: ambulant loc. aanbieder
459,Zonder verblijf: ambulant loc. aanbieder
460,Zonder verblijf: ambulant loc. aanbieder
461,Zonder verblijf: ambulant loc. aanbieder
462,Zonder verblijf: ambulant loc. aanbieder
463,Zonder verblijf: ambulant loc. aanbieder
464,Zonder verblijf: ambulant loc. aanbieder
465,Zonder verblijf: ambulant loc. aanbieder
466,Zonder verblijf: ambulant loc. aanbieder
467,Zonder verblijf: ambulant loc. aanbieder
468,Zonder verblijf: ambulant loc. aanbieder
469,Zonder verblijf: ambulant loc. aanbieder
470,Zonder verblijf: ambulant loc. aanbieder
471,Zonder verblijf: ambulant loc. aanbieder
472,Zonder verblijf: ambulant loc. aanbieder
473,Zonder verblijf: ambulant loc. aanbieder
474,Zonder verblijf: ambulant loc. aanbieder
475,Zonder verblijf: ambulant loc. aanbieder
476,Zonder verblijf: ambulant loc. aanbieder
477,Zonder verblijf: ambulant loc. aanbieder
478,Zonder verblijf: ambulant loc. aanbieder
479,Zonder verblijf: ambulant loc. aanbieder
480,Zonder verblijf: ambulant loc. aanbieder
481,Zonder verblijf: ambulant loc. aanbieder
482,Zonder verblijf: ambulant loc. aanbieder
483,Zonder verblijf: ambulant loc. aanbieder
484,Zonder verblijf: ambulant loc. aanbieder
485,Zonder verblijf: ambulant loc. aanbieder
486,Zonder verblijf: ambulant loc. aanbieder
487,Zonder verblijf: ambulant loc. aanbieder
488,Zonder verblijf: ambulant loc. aanbieder
489,Zonder verblijf: ambulant loc. aanbieder
490,Zonder verblijf: ambulant loc. aanbieder
491,Zonder verblijf: ambulant loc. aanbieder
492,Zonder verblijf: ambulant loc. aanbieder
493,Zonder verblijf: ambulant loc. aanbieder
494,Zonder verblijf: ambulant loc. aanbieder
495,Zonder verblijf: ambulant loc. aanbieder
496,Zonder verblijf: ambulant loc. aanbieder
497,Zonder verblijf: ambulant loc. aanbieder
498,Zonder verblijf: ambulant loc. aanbieder
499,Zonder verblijf: ambulant loc. aanbieder
500,Zonder verblijf: ambulant loc. aanbieder
501,Zonder verblijf: ambulant loc. aanbieder
502,Zonder verblijf: ambulant loc. aanbieder
503,Zonder verblijf: ambulant loc. aanbieder
504,Zonder verblijf: ambulant loc. aanbieder
505,Zonder verblijf: ambulant loc. aanbieder
506,Zonder verblijf: ambulant loc. aanbieder
507,Zonder verblijf: ambulant loc. aanbieder
508,Zonder verblijf: ambulant loc. aanbieder
509,Zonder verblijf: ambulant loc. aanbieder
510,Zonder verblijf: ambulant loc. aanbieder
511,Zonder verblijf: ambulant loc. aanbieder
512,Zonder verblijf: ambulant loc. aanbieder
513,Zonder verblijf: ambulant loc. aanbieder
514,Zonder verblijf: ambulant loc. aanbieder
515,Met verblijf: overig residentieel
516,Met verblijf: overig residentieel
517,Met verblijf: overig residentieel
518,Met verblijf: overig residentieel
519,Met verblijf: overig residentieel
520,Met verblijf: overig residentieel
521,Met verblijf: overig residentieel
522,Zonder verblijf: ambulant loc. aanbieder
523,Met verblijf: overig residentieel
524,Met verblijf: overig residentieel
525,Zonder verblijf: ambulant loc. aanbieder
526,Met verblijf: overig residentieel
527,Met verblijf: overig residentieel
528,Met verblijf: overig residentieel
529,Met verblijf: overig residentieel
530,Met verblijf: overig residentieel
531,Met verblijf: overig residentieel
532,Met verblijf: overig residentieel
533,Zonder verblijf: ambulant loc. aanbieder
534,Zonder verblijf: ambulant loc. aanbieder
535,Zonder verblijf: ambulant loc. aanbieder
536,Zonder verblijf: ambulant loc. aanbieder
537,Zonder verblijf: ambulant loc. aanbieder
538,Zonder verblijf: ambulant loc. aanbieder
539,Zonder verblijf: ambulant loc. aanbieder
540,Zonder verblijf: ambulant loc. aanbieder
541,Zonder verblijf: ambulant loc. aanbieder
542,Zonder verblijf: ambulant loc. aanbieder
543,Zonder verblijf: ambulant loc. aanbieder
544,Zonder verblijf: ambulant loc. aanbieder
545,Zonder verblijf: ambulant loc. aanbieder
546,Met verblijf: overig residentieel
547,Met verblijf: overig residentieel
548,Met verblijf: overig residentieel
549,Zonder verblijf: ambulant loc. aanbieder
550,Zonder verblijf: ambulant loc. aanbieder
551,Zonder verblijf: ambulant loc. aanbieder
552,Zonder verblijf: ambulant loc. aanbieder
553,Zonder verblijf: ambulant loc. aanbieder
554,Zonder verblijf: ambulant loc. aanbieder
555,Zonder verblijf: ambulant loc. aanbieder
556,Zonder verblijf: ambulant loc. aanbieder
557,Zonder verblijf: ambulant loc. aanbieder
558,Zonder verblijf: ambulant loc. aanbieder
559,Zonder verblijf: ambulant loc. aanbieder
560,Zonder verblijf: ambulant loc. aanbieder
561,Zonder verblijf: ambulant loc. aanbieder
562,Zonder verblijf: ambulant loc. aanbieder
563,Zonder verblijf: ambulant loc. aanbieder
564,Zonder verblijf: ambulant loc. aanbieder
565,Zonder verblijf: ambulant loc. aanbieder
566,Zonder verblijf: ambulant loc. aanbieder
567,Zonder verblijf: ambulant loc. aanbieder
568,Zonder verblijf: ambulant loc. aanbieder
569,Zonder verblijf: ambulant loc. aanbieder
570,Zonder verblijf: ambulant loc. aanbieder
571,Zonder verblijf: ambulant loc. aanbieder
572,Zonder verblijf: ambulant loc. aanbieder
573,Met verblijf: overig residentieel
574,Met verblijf: overig residentieel
575,Met verblijf: overig residentieel
576,Met verblijf: overig residentieel
577,Met verblijf: overig residentieel
578,Zonder verblijf: door wijk- of buurtteam
579,Zonder verblijf: door wijk- of buurtteam
580,Zonder verblijf: door wijk- of buurtteam
581,Zonder verblijf: ambulant loc. aanbieder
582,Jeugdhulp ambulant
583,Jeugdhulp ambulant
584,Jeugdhulp ambulant
585,Jeugdhulp ambulant
586,Jeugdhulp ambulant
587,Jeugdhulp ambulant
588,Jeugdhulp ambulant
589,Jeugdhulp ambulant
590,Jeugdhulp ambulant
591,Jeugdhulp ambulant
592,Jeugdhulp ambulant
593,Jeugdhulp ambulant
594,Jeugdhulp ambulant
595,Jeugdhulp ambulant
596,Jeugdhulp ambulant
597,Jeugdhulp ambulant
598,Jeugdhulp ambulant
599,Zonder verblijf: door wijk- of buurtteam
600,Zonder verblijf: door wijk- of buurtteam
601,Vervoerdiensten
602,Met verblijf: overig residentieel
603,Jeugdhulp verblijf (excl. behandeling)
604,Jeugdhulp verblijf (excl. behandeling)
605,Jeugdhulp verblijf (excl. behandeling)
606,Met verblijf: overig residentieel
607,Jeugdhulp verblijf (excl. behandeling)
608,Jeugdhulp verblijf (excl. behandeling)
609,Vervoerdiensten
610,Zonder verblijf: door wijk- of buurtteam
