ZorgleverancierKey,ZorgleverancierNaam
84,UMC Utrecht
85,Stichting SWZ Samenwerkende Woon en Zorgvoorziening
86,Accare
87,VNN (Verslavingszorg Noord Nederland)
88,Elker
89,Jeugdhulp Friesland
90,Lentis
91,Pro Persona
92,Stichting Dr. Leo Kannerhuis
93,Karakter
94,Tactus Verslavingszorg
95,De Forensische Zorgspecialisten
96,Eleos
97,Altrecht
98,De Bascule
99,Arkin - PuntP
100,Curium LUMC
101,Centrum 45
102,Yulius
103,St. De Hoop
104,Stichting de Jutters/Ortho- en forensische psychiatrie
105,De Kijvelanden / Het Dok
106,Parnassia Bavo Groep - Brijder
107,Rivierduinen
108,Stichting Emergis
109,GGZ Eindhoven
110,De Viersprong
111,GGZ Westelijk Noord Brabant
112,GGz Breburg
113,Reinier van arkel
114,Novadic Kentron
115,Bijzonder Jeugdwerk Brabant (BJ Brabant)
116,Leo Kannerhuis Brabant
117,Oosterpoort
118,Vincent van Gogh Zuid (GGZ Noord en Midden Limburg)/VVG
119,Mutsaersstichting
120,Reinaerde Kinderen en Jeugd
121,Zuid Wester
122,Intermetzo
123,Driestroom 
124,Lijn 5
125,Lievegoed
126,stg Bartimeus Sonneheerdt
127,Sherpa
128,Syndion
129,Prismanet
130,SDW
131,Cello
132,Koraal Groep
133,Stichting Adelante Zorg
134,ABA Huis
135,ABA Huis
136,Altius ABA Therapie B.V.
137,RIBW Brabant
138,Juzt
139,Fier Fryslân
140,Elker
141,Leevboerderij het Erfdeel
142,Yorneo
143,Lindenhout
144,Max Ernst GGZ
145,Ottho Gerhard Heldring en Ambulatorium
146,Stichting Timon
147,NKCV
148,Instituut WIJ
149,Voorzet
150,Spirit Jeugd & Opvoedhulp
151,Léveo Care (h/o CareHouse)
152,Cardea
153,Impegno B.V.
154,De Buitenwereld
155,Fortagroep Hank
156,Humanitas DMH
157,Stichting FlexusJeugdplein
158,Mentaal Beter
159,Boba Levensloopbegeleiding B.V.
160,Zorgboeren Zuid-Holland
161,Cooperatie van ondernemers in de kleinschalige zorg in Zeeland
162,Praktijk Van Waterschoot
163,Jan Arends bv
164,Zintri Zorggroep
165,Stichting Klaver4 Zorg en Welzijn
166,MedKid B.V.
167,Stichting Villa Boerebont
168,Stichting Samenwerkende Zorgboeren Zuid West Brabant
169,Stichting inzet voor Zorg
170,A.A.I. centrum De Klimop
171,Stichting IJgenwys en Anders
172,Buro Maks
173,Buro Atlantis Zorg
174,AMO actieve opvang
175,Asendo
176,Stichting Respect
177,Action Kids B.V.
178,Virenze
179,VOF Perspectief
180,Autisme en adhd centrum t Zonneke (AACtZ)
181,Ann-Zorg B.V.
182,See You
183,Huppeteam BV
184,Thebe
185,UMC Groningen
186,Dunya Zorg en Welzijn
187,Amare zorgcoaching
188,Zorgbureau De Puzzel B.V.
189,Vivre Kinderthuiszorg
190,Avian Thuiszorg B.V.
191,HSPO zorgpunt
192,Stichting Enver
193,Emergis
194,EGhO Kinderpraktijk
195,Kindertherapie Brabant
196,Praktijk de Hand
197,Psychomotorische Kindertherapeute A. de Groot-de Hek
198,Focus Centrum Zeeland
199,Bianca Havermans-Jansen
200,Praktijk voor Speltherapie
201,De Krullevaar
202,Kairos-Breda
203,Braincare
204,"Praktijk LIV, Leven in Verbinding"
205,De Gezinspraktijk Marieke Wulffraat
206,Kanx11
207,Praktijk De Burcht
208,V.O.F. Geluk - Kernvisie methode
209,Praktijk in de Natuur
210,Praktijk voor Integratieve Kindertherapie en Feuerstein mediatie
211,BeleefRijk
212,Dadoen
213,Praktijk Lisette Nelemans
214,Diane Snijders kindercoaching
215,Brainmatch
216,Kadanst
217,Praktijk Krachtenspel
218,Speltherapie en Ouderbegeleiding Marina van de Pas
219,Ervaren en Leren
220,Studio Sterkk
221,Idoke
222,Jij & Ik kindercoaching
223,Spel!
224,Praktijk voor PMT
225,Praktijk SamSam
226,Praktijk dUrv - psychomotorische therapie
227,Speltherapiepraktijk Carla Roos
228,Omgaan
229,Bart Gooren psychomotorisch kindertherapeut
230,Stichting Lifestyle Care Concept
231,Gezinsbegeleiding Breda
232,Praktijk voor vaktherapie breda
233,Speltherapiepraktijk Het Vogelhuis
234,Iris praktijk voor speltherapie en ouderbegeleiding
235,BijFloortje
236,Mind Yourself
237,Speljuf
238,Speltherapie Petra van den Munckhof
239,Man Yi Tsang Praktijk voor Dans- Bewegingstherapie & Body Mapping
240,Buutvrij Therapie
241,Sensus-therapie
242,Linda Koning Kindercoach
243,Puur voor kids
244,De Kleine Wereld Kindertherapie
245,De Droomboom praktijk voor integratieve kindertherapie
246,Nick Vissers - Praktijk voor Psychomotorische Kindertherapie
247,Praktijk Rob Minten
248,Karin Mulder
249,Praktijk JiB
250,Jes Coaching met paardekracht
251,Kindertherapie Brabant
252,Bianca Havermans-Jansen
253,Praktijk de Hand
254,Amarah
255,Van der Velden kinder- en jeugdpsychiatrie
256,Roosdorp kinder- en jeugdpsychiatrie
257,G.Adriaansens-Brugman
258,PSO Praktijk van der Schee en van Oss
259,pepp-breda
260,Psychologenpraktijk Frumau
261,Ambulatorium FSW UU
262,M.Franck-Schaekens
263,PPO
264,De waag
265,Psychologen praktijk Timmers BV
266,Praktijk Merkelbach
267,AuroFocus Psychotherapie
268,Praktijk Marissink
269,Praktijk Barend Spijkers
270,Psychologenpraktijk Oosterhout
271,Praktijk van de Wiel
272,M.V.Westbroek
273,Psychotherapiepraktijk Betty van Hulzen
274,L.A.K.M. Voets
275,BOP Expertisecentrum
276,Opdidakt
277,Praktijk Westbroek
278,Praktijk voor Psychotherapie T.J.J. Jong
279,IWAL instituten voor dyslexie
280,Hans van der Ham
281,COGNITIO Mts
282,Lydia Plooy-Verheule
283,KJP Dumoulin / R. van Dommelen
284,Praktijk M. Waaijer
285,L.B. Schaink
286,Astrid Wetzels Coaching en Psychotherapie
287,Praktijk voor Psychologie Rinck
288,psychologenpraktijk De Kruijf
289,Staman-Therapie
290,Nicole Bos
291,Praktijk Chaya
292,Psychologenpraktijk van Huijkelom
293,Maatschap Trivers
294,Kinder en Jeugdpsychotherapiepraktijk van Ree
295,Basic Trust H M Kobussen
296,Basic Trust Boxmeer
297,Spil-Vught B.V.
298,Reneé Uittenbogaard
299,Spil Hedel
300,Ambulatorium FSW Univ. Leiden
301,Psychologenpraktijk Perspectief Vof
302,Tract Psychologen
303,Psych.praktijk I. de Visscher - de Roeck
304,DEVOTAS
305,Neuroscan
306,Addenda Psychologen
307,OPB
308,Monique Beurskens
309,Kinder- en Jeugdpraktijk De Roos
310,Concordium Orthopedagogische Praktijk
311,Jaxie! Orthopedagogische Praktijk
312,Zien in de klas
313,Caroline Visser
314,Praktijk Kind in Zicht
315,Evelinescounselling
316,Nel Koekkoek
317,"van steenhoven, praktijk voor jeugdhulpverlening"
318,Silver Psychologie Breda B.V.
319,Pi-Spello
320,Brevis
321,InSight4U
322,Positieve Psychologie Drimmelen
323,OPPB B.V.
324,Praktijk C.P.M. van Dijk (Praktijk)
325,Drs. M. Boer Psycholoog NIP
326,Orthowest
327,De Testpsycholoog
328,De OpgroeiPraktijk
329,van A tot leZen
330,ECLG expertiseventrum leren & gedrag
331,Martie van der Reijden
332,Praktijk Wijtsma
333,Buro T3
334,Sandra Loijen
335,Janna Bastmeijer
336,Praktijk 4Soulutions
337,Miriam Johanningmeijer
338,Praktijk Inpetto
339,Expertise in Ervaren
340,PLAN Psychologie
341,Psychologenpraktijk Bommelerwaard
342,CGB Drechtsteden BV
343,Praktijk de Sleutel
344,Praktijk DynamIK
345,Deviaa
346,Freeke Terpstra
347,Trivers Psychologie B.V.
348,Psychologiepraktijk Huijskens
349,Iris Pedagogiek
350,Basic Trust B.V.
351,Leonie van Roozendaal
352,Psychologiepraktijk Optimaal
353,E. Bos Orthopedagogiek
354,Praktijk Tatoran
355,Free 2 be
356,Verlies en Leven
357,Alexandra - Animal Assisted Coaching
358,Intravant
359,K2O Ondersteunen bij opvoeden
360,Praktijk Kobalt
361,INara-jeugdhulp
362,Euthopia
363,Gezin en relatie praktijk
364,Liesbeth Alberts Coaching en Training
365,Blend Kindercoaching
366,Praktijk De Burcht
367,Amego
368,Mikadoe
369,MWK Hulpverlening en Ondersteuning op maat
370,Addenda Psychologenpraktijk
371,Gezinshuis BuitengewoonThuis
372,van A tot leZen
373,Optigroei
374,Kinder- en Jeugdpraktijk De Roos
375,Expertise in Ervaren
376,Praktijk voor Kinder- en Jeugdpsychologie Van den Hout
377,Bij Bir
378,Alexandra - Animal Assisted Coaching
379,psychologenpraktijk De Kruijf
380,St. Jeugdbescherming Rotterdam Rijnmond
381,ASVZ
382,Stichting Parlan
383,"Amabilis, jeugd en gezinshulp"
384,Caro Kindercoach & begeleiding
385,IBB Coaching
386,A-spectrum
387,Stichting Mees
388,Topaze
389,ASVZ
390,Stichting Pactum Jeugd- en Opvoedhulp
391,Stichting Amarant Groep
392,Iriszorg
393,SGJ (JB/JR)
394,SGJ (Pleegzorg)
395,Groenhart Jeugd en School begeleiding
396,Lelie Zorggroep
397,Stichting Jeugdformaat
398,Stichting De Enghoeve
399,Leger des Heils
400,Stichting Vraagkracht
401,Kleurrijk Kunst & Coaching
402,Zorgcollectief Altena
403,Stichting Zahet
404,De GezinsManager
405,ViaNeo
406,Stichting Jeugdzorgcollectief hodn KANZ
407,Stichting Wij Samen
408,Merel van Es Coaching
409,SOVAK
410,William Schrikker St. Jeugdbescherming & Jeugdreclassering
411,William Schrikker Stichting Gezinsvormen
412,Stichting de Rading
413,Hanne Ihlen. Praktijk voor therapie en training
414,Sociaal Educatief Leercentrum De Dolfijn
415,Aanbieder onbekend
416,Leev Basic BV
417,Stichting Stulpke de Tussenstap
418,VOF den Besten/ K.G. den Besten (Zorgboerderij de Bernerboefjes)
419,Sterk Huis
420,Almoss
421,Pluryn Hoenderloo Groep
422,Kindercoach Oosterhout
423,Stg. Jeugdbescherming West
424,Jeugdbescherming West Haaglanden
425,AERTS bewegen
426,Stg Bureau Jeugdzorg Limburg
427,Autisme Begeleiding Breda
428,Stichting Jeugdbescherming Regio Amsterdam
429,Samen Sterk Pedagogische gezinsbegeleiding
430,Punt Weerbaarheid
431,Stichting Jeugdbescherming Brabant
432,Leger des Heils Jeugdbescherming & Reclassering
433,Gezinshuis Bij Ons
434,Coaching op Maat
435,Flowkids
436,KluppluZ
437,YourMissionCoaching
438,Kinderopvang Samengroeien
439,Multi-Vision
440,t Speelkwartier
441,Feniks Talent
442,Stichting Seys Centra
443,Opvoedcoaching aan huis
444,Gezinshuis Dromen durven delen
445,Up2You Totaalbegeleiding
446,We Walk Jeudgzorg
447,Jeugdbescherming Gelderland
448,Patricia van Ooijen
449,Jij Staat Centraal
450,Chanella praktijk voor groei en ontwikkeling
451,MetMarjolein
452,IBWZ (INDIVIDUELE BEGELEIDING WELZIJN & ZORG)
453,Project Bok
454,Kinderpraktijk Sterk & Zo
455,Huppetee !! Begeleiding aan kinderen met Downsyndroom
456,Windmee hulpverlening
457,Praktijk voor Opvoedkundig Advies
458,Zorggroep Tuinzigt B.V.
459,YVONNE JACOBS ORTHOPEDAGOOG
460,Stichting Educatief en Fairplay
461,PMT Breda
462,Mindequipment B.V.
463,Stichting Conaction
464,Resultaat Plus
465,Studio Jetje
466,Praktijk Inti
467,Autismepraktijk Marloes de Rijk
468,SMILE 4 you
469,Zorgboerderij Feniks
470,Fourelle
471,Centrum voor Poolse gezinnen
472,ZoooGewoon
473,BuitenGewoon
474,Hoeve het Rondgors
475,Jeugdhulp Poolse Gezinnen
476,Bundelzorg B.V.
477,De GezinsManager
478,Daelhuys
479,Kairos Etten-Leur
480,Mynd
481,Daisy Bakker-van Dijk
482,Gezinshuis AlmkerkV.O.F.
483,Opdidakt B.V.
484,BRAM
485,Dorien Jacobs
486,Gezinshuis Windmee
487,Gezinshuis 2getR
488,Gezinshuis ElNoor
489,Dagbesteding PodAa
490,IQ Coach Birgitte Korbijn
491,Gezinshuis Terug naar de Toekomst
492,Gezinshuis Bubbel
493,Pro6
494,Gezinshuis Nieuw Leven
495,Pandor
496,Stichting Hachiko-kids
497,Energizing People
498,Gezinshuis Hengelhof
499,Gezinshuis Nieuwe start
500,Het Talentenlab
501,GezinsPerspectief
502,Gezinshuis Keefa V.O.F.
503,Music featuring You
504,Project Bok V.O.F.
505,Gezinshuis Princeheerlijck
506,Psychologenpraktijk van den Ende
507,SenseZorg BV
508,De GezinsManager B.V.
509,Bij Bouke
510,Rejoice Drunen
511,Dvrse ambulante begeleiding
512,Landelijk Verbond Gezinshuizen C.O. BV
513,Skillsz
514,Gezinshuis ‘Nu ben ik hier’
515,Gezinshuis Con Amore
516,Gezinshuis Hooijhuis
517,Pandor V.O.F.
518,Chanella praktijk voor groei en ontwikkeling B.V.
519,Spectrum Multimedia & IT
520,Stichting A&M Zorg
521,Gezinshuis Altena
522,Samen Sterk Pedagogische gezinsbegeleiding
523,Viou b.v.
524,Gezinshuis Goudsma
525,JoKi-C
526,Paard en meer
527,Stichting Sterk Huis West Brabant
528,Stichting Vrouwenopvang Safegroup
529,ViaNeo Westbrabant BV
530,PGB
